"x","y"
0.0035,1.53144e-07
0.007,3.05726e-07
0.0105,4.57751e-07
0.014,6.09223e-07
0.0175,7.60146e-07
0.021,9.10522e-07
0.0245,1.06036e-06
0.028,1.20965e-06
0.0315,1.35841e-06
0.035,1.50664e-06
0.0385,1.65434e-06
0.042,1.80152e-06
0.0455,1.94817e-06
0.049,2.09432e-06
0.0525,2.23994e-06
0.056,2.38506e-06
0.0595,2.52968e-06
0.063,2.67379e-06
0.0665,2.81741e-06
0.07,2.96053e-06

