"x","y"
0.0035,1.10563e-07
0.007,2.20788e-07
0.0105,3.30677e-07
0.014,4.4023e-07
0.0175,5.49451e-07
0.021,6.58337e-07
0.0245,7.66898e-07
0.028,8.75128e-07
0.0315,9.83031e-07
0.035,1.09061e-06
0.0385,1.19786e-06
0.042,1.3048e-06
0.0455,1.41141e-06
0.049,1.51771e-06
0.0525,1.62369e-06
0.056,1.72936e-06
0.0595,1.83471e-06
0.063,1.93976e-06
0.0665,2.04449e-06
0.07,2.14892e-06

